ts,market_id,now,market_end_ts,venue,symbol,official_required_venue,official_used_venue,official_used_endpoint,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,signal_book_arbitrage_edge_bps,signal_book_arbitrage_reason,signal_book_arbitrage_confidence,signal_book_staleness_edge_bps,signal_book_staleness_reason,signal_book_staleness_confidence,arb_cost_cents,arb_edge_cents
1768189737436,KALSHI-TEST-DEEP,1768189737436,0,KALSHI,KALSHI-TEST-DEEP,KALSHI,KALSHI,API,,False,SELF_REFERENTIAL,0,,,,,False,NO_DATA,0,,,,,,0.0,0.0,0.0,0,KALSHI_PREDICTION,UNKNOWN,,VENUE,STUB,NO_TRADE,NO_DATA,,[],0.0,0.0,0.0,0,False,,0.0,SIGNAL_UNAVAILABLE,,0.0,SIGNAL_UNAVAILABLE,,,
