ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative
1768040301225,v1.1,KXBTC-26JAN1617-B91250,1768040301225,0,,,,KALSHI,KXBTC-26JAN1617-B91250,,False,,,,,,,True,,,,,,,,,,0.0,0.0,,,,,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=3 no_levels=15 yes_bid=4 no_bid=93 BOOK_SHA1:2a346767df,"[""BOOK_SANITY: yes_levels=3 no_levels=15 yes_bid=4 no_bid=93 BOOK_SHA1:2a346767df""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768040301225,v1.1,KXBTC-26JAN1617-B91250,1768040301225,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,WOULD_ENTER,FORCE_ENTRY,FORCE_ENTRY,"[""FORCE_ENTRY"", ""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER"", ""FILL: ENTER YES 14.3 @ 0.070""]",0.0,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040302317,v1.1,KXBTC-26JAN1617-B91250,1768040302317,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040303399,v1.1,KXBTC-26JAN1617-B91250,1768040303399,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040304491,v1.1,KXBTC-26JAN1617-B91250,1768040304491,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040305577,v1.1,KXBTC-26JAN1617-B91250,1768040305577,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040306668,v1.1,KXBTC-26JAN1617-B91250,1768040306668,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040307762,v1.1,KXBTC-26JAN1617-B91250,1768040307762,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040308850,v1.1,KXBTC-26JAN1617-B91250,1768040308850,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040309939,v1.1,KXBTC-26JAN1617-B91250,1768040309939,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040311037,v1.1,KXBTC-26JAN1617-B91250,1768040311037,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040312120,v1.1,KXBTC-26JAN1617-B91250,1768040312120,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
1768040313203,v1.1,KXBTC-26JAN1617-B91250,1768040313203,1768600800000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC-26JAN1617-B91250,,False,RESOLUTION_UNKNOWN,0,0.04,0.07,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,7500.000000000001,5327,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:2a346767df"", ""EXEC:PAPER""]",-0.9921428571428572,0.0,0.0,1,False,FORCE,,,,,,,,,
