ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative
1768004966304,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004966304,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004967398,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004967398,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004968493,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004968493,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004969583,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004969583,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004970675,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004970675,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004971798,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004971798,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004972892,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004972892,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004973988,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004973988,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004975089,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004975089,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004976187,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004976187,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004977284,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004977284,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004978379,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004978379,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004979473,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004979473,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004980569,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004980569,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004981665,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004981665,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004982757,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004982757,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
1768004983852,v1.1,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,1768004983852,0,UNKNOWN,UNKNOWN,,KALSHI,KXMVESPORTSMULTIGAMEEXTENDED-S20251AE651FAEEA-97B600EFADD,,False,RESOLUTION_UNKNOWN,0,0.6,0.62,,,True,,0,,,,,,,,333.3,1000.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,"STRATEGY_ERROR:StaleEdgeStrategy.evaluate_market() missing 4 required positional arguments: 'token_id', 'rules_text', 'market_end_ts_ms', and 'now_ts_ms'",,[],0.0,0.0,0.0,0,False,,conservative,True,0,50,0,0.0,0.0,0.0,0.0
